scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,1,5,28.000000000000004
LC-MS$^2$Struct,20,5,88.0
Only-MS$^2$,1,5,22.0
Only-MS$^2$,20,5,82.0
LC-MS$^2$Struct,1,6,28.000000000000004
LC-MS$^2$Struct,20,6,88.0
Only-MS$^2$,1,6,22.0
Only-MS$^2$,20,6,82.0
LC-MS$^2$Struct,1,7,28.000000000000004
LC-MS$^2$Struct,20,7,88.0
Only-MS$^2$,1,7,22.0
Only-MS$^2$,20,7,82.0
LC-MS$^2$Struct,1,8,28.000000000000004
LC-MS$^2$Struct,20,8,88.0
Only-MS$^2$,1,8,22.0
Only-MS$^2$,20,8,82.0
LC-MS$^2$Struct,1,1,34.0
LC-MS$^2$Struct,20,1,74.0
Only-MS$^2$,1,1,30.0
Only-MS$^2$,20,1,74.0
LC-MS$^2$Struct,1,2,34.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,30.0
Only-MS$^2$,20,2,74.0
LC-MS$^2$Struct,1,3,34.0
LC-MS$^2$Struct,20,3,74.0
Only-MS$^2$,1,3,30.0
Only-MS$^2$,20,3,74.0
LC-MS$^2$Struct,1,4,34.0
LC-MS$^2$Struct,20,4,74.0
Only-MS$^2$,1,4,30.0
Only-MS$^2$,20,4,74.0
LC-MS$^2$Struct,1,5,34.0
LC-MS$^2$Struct,20,5,74.0
Only-MS$^2$,1,5,30.0
Only-MS$^2$,20,5,74.0
LC-MS$^2$Struct,1,6,36.0
LC-MS$^2$Struct,20,6,74.0
Only-MS$^2$,1,6,30.0
Only-MS$^2$,20,6,74.0
LC-MS$^2$Struct,1,7,36.0
LC-MS$^2$Struct,20,7,74.0
Only-MS$^2$,1,7,30.0
Only-MS$^2$,20,7,74.0
LC-MS$^2$Struct,1,8,38.0
LC-MS$^2$Struct,20,8,74.0
Only-MS$^2$,1,8,30.0
Only-MS$^2$,20,8,74.0
LC-MS$^2$Struct,1,1,30.0
LC-MS$^2$Struct,20,1,80.0
Only-MS$^2$,1,1,24.0
Only-MS$^2$,20,1,78.0
LC-MS$^2$Struct,1,2,28.000000000000004
LC-MS$^2$Struct,20,2,80.0
Only-MS$^2$,1,2,24.0
Only-MS$^2$,20,2,78.0
LC-MS$^2$Struct,1,3,28.000000000000004
LC-MS$^2$Struct,20,3,80.0
Only-MS$^2$,1,3,24.0
Only-MS$^2$,20,3,78.0
LC-MS$^2$Struct,1,4,26.0
LC-MS$^2$Struct,20,4,80.0
Only-MS$^2$,1,4,24.0
Only-MS$^2$,20,4,78.0
LC-MS$^2$Struct,1,5,26.0
LC-MS$^2$Struct,20,5,80.0
Only-MS$^2$,1,5,24.0
Only-MS$^2$,20,5,78.0
LC-MS$^2$Struct,1,6,26.0
LC-MS$^2$Struct,20,6,80.0
Only-MS$^2$,1,6,24.0
Only-MS$^2$,20,6,78.0
LC-MS$^2$Struct,1,7,26.0
LC-MS$^2$Struct,20,7,80.0
Only-MS$^2$,1,7,24.0
Only-MS$^2$,20,7,78.0
LC-MS$^2$Struct,1,8,26.0
LC-MS$^2$Struct,20,8,80.0
Only-MS$^2$,1,8,24.0
Only-MS$^2$,20,8,78.0
LC-MS$^2$Struct,1,1,36.0
LC-MS$^2$Struct,20,1,76.0
Only-MS$^2$,1,1,32.0
Only-MS$^2$,20,1,82.0
LC-MS$^2$Struct,1,2,34.0
LC-MS$^2$Struct,20,2,80.0
Only-MS$^2$,1,2,32.0
Only-MS$^2$,20,2,82.0
LC-MS$^2$Struct,1,3,34.0
LC-MS$^2$Struct,20,3,80.0
Only-MS$^2$,1,3,32.0
Only-MS$^2$,20,3,82.0
LC-MS$^2$Struct,1,4,32.0
LC-MS$^2$Struct,20,4,82.0
Only-MS$^2$,1,4,32.0
Only-MS$^2$,20,4,82.0
LC-MS$^2$Struct,1,5,34.0
LC-MS$^2$Struct,20,5,82.0
Only-MS$^2$,1,5,32.0
Only-MS$^2$,20,5,82.0
LC-MS$^2$Struct,1,6,34.0
LC-MS$^2$Struct,20,6,82.0
Only-MS$^2$,1,6,32.0
Only-MS$^2$,20,6,82.0
LC-MS$^2$Struct,1,7,32.0
LC-MS$^2$Struct,20,7,82.0
Only-MS$^2$,1,7,32.0
Only-MS$^2$,20,7,82.0
LC-MS$^2$Struct,1,8,34.0
LC-MS$^2$Struct,20,8,82.0
Only-MS$^2$,1,8,32.0
Only-MS$^2$,20,8,82.0
LC-MS$^2$Struct,1,1,26.0
LC-MS$^2$Struct,20,1,82.0
Only-MS$^2$,1,1,18.0
Only-MS$^2$,20,1,80.0
LC-MS$^2$Struct,1,2,24.0
LC-MS$^2$Struct,20,2,82.0
Only-MS$^2$,1,2,18.0
Only-MS$^2$,20,2,80.0
LC-MS$^2$Struct,1,3,28.000000000000004
LC-MS$^2$Struct,20,3,84.0
Only-MS$^2$,1,3,18.0
Only-MS$^2$,20,3,80.0
LC-MS$^2$Struct,1,4,28.000000000000004
LC-MS$^2$Struct,20,4,84.0
Only-MS$^2$,1,4,18.0
Only-MS$^2$,20,4,80.0
LC-MS$^2$Struct,1,5,28.000000000000004
LC-MS$^2$Struct,20,5,86.0
Only-MS$^2$,1,5,18.0
Only-MS$^2$,20,5,80.0
LC-MS$^2$Struct,1,6,26.0
LC-MS$^2$Struct,20,6,86.0
Only-MS$^2$,1,6,18.0
Only-MS$^2$,20,6,80.0
LC-MS$^2$Struct,1,7,26.0
LC-MS$^2$Struct,20,7,86.0
Only-MS$^2$,1,7,18.0
Only-MS$^2$,20,7,80.0
LC-MS$^2$Struct,1,8,26.0
LC-MS$^2$Struct,20,8,86.0
Only-MS$^2$,1,8,18.0
Only-MS$^2$,20,8,80.0
LC-MS$^2$Struct,1,1,32.0
LC-MS$^2$Struct,20,1,84.0
Only-MS$^2$,1,1,30.0
Only-MS$^2$,20,1,84.0
LC-MS$^2$Struct,1,2,34.0
LC-MS$^2$Struct,20,2,84.0
Only-MS$^2$,1,2,30.0
Only-MS$^2$,20,2,84.0
LC-MS$^2$Struct,1,3,32.0
LC-MS$^2$Struct,20,3,84.0
Only-MS$^2$,1,3,30.0
Only-MS$^2$,20,3,84.0
LC-MS$^2$Struct,1,4,34.0
LC-MS$^2$Struct,20,4,84.0
Only-MS$^2$,1,4,30.0
Only-MS$^2$,20,4,84.0
LC-MS$^2$Struct,1,5,32.0
LC-MS$^2$Struct,20,5,84.0
Only-MS$^2$,1,5,30.0
Only-MS$^2$,20,5,84.0
LC-MS$^2$Struct,1,6,34.0
LC-MS$^2$Struct,20,6,84.0
Only-MS$^2$,1,6,30.0
Only-MS$^2$,20,6,84.0
LC-MS$^2$Struct,1,7,34.0
LC-MS$^2$Struct,20,7,84.0
Only-MS$^2$,1,7,30.0
Only-MS$^2$,20,7,84.0
LC-MS$^2$Struct,1,8,34.0
LC-MS$^2$Struct,20,8,84.0
Only-MS$^2$,1,8,30.0
Only-MS$^2$,20,8,84.0
LC-MS$^2$Struct,1,1,30.0
LC-MS$^2$Struct,20,1,88.0
Only-MS$^2$,1,1,24.0
Only-MS$^2$,20,1,82.0
LC-MS$^2$Struct,1,2,30.0
LC-MS$^2$Struct,20,2,84.0
Only-MS$^2$,1,2,24.0
Only-MS$^2$,20,2,82.0
LC-MS$^2$Struct,1,3,34.0
LC-MS$^2$Struct,20,3,86.0
Only-MS$^2$,1,3,24.0
Only-MS$^2$,20,3,82.0
LC-MS$^2$Struct,1,4,32.0
LC-MS$^2$Struct,20,4,88.0
Only-MS$^2$,1,4,24.0
Only-MS$^2$,20,4,82.0
LC-MS$^2$Struct,1,5,32.0
LC-MS$^2$Struct,20,5,84.0
Only-MS$^2$,1,5,24.0
Only-MS$^2$,20,5,82.0
LC-MS$^2$Struct,1,6,30.0
LC-MS$^2$Struct,20,6,86.0
Only-MS$^2$,1,6,24.0
Only-MS$^2$,20,6,82.0
LC-MS$^2$Struct,1,7,32.0
LC-MS$^2$Struct,20,7,86.0
Only-MS$^2$,1,7,24.0
Only-MS$^2$,20,7,82.0
LC-MS$^2$Struct,1,8,34.0
LC-MS$^2$Struct,20,8,86.0
Only-MS$^2$,1,8,24.0
Only-MS$^2$,20,8,82.0
LC-MS$^2$Struct,1,1,56.41025641025641
LC-MS$^2$Struct,20,1,94.87179487179486
Only-MS$^2$,1,1,52.56410256410257
Only-MS$^2$,20,1,94.87179487179486
LC-MS$^2$Struct,1,2,58.97435897435898
LC-MS$^2$Struct,20,2,94.87179487179486
Only-MS$^2$,1,2,52.56410256410257
Only-MS$^2$,20,2,94.87179487179486
LC-MS$^2$Struct,1,3,56.41025641025641
LC-MS$^2$Struct,20,3,94.87179487179486
Only-MS$^2$,1,3,52.56410256410257
Only-MS$^2$,20,3,94.87179487179486
LC-MS$^2$Struct,1,4,53.84615384615385
LC-MS$^2$Struct,20,4,94.87179487179486
Only-MS$^2$,1,4,52.56410256410257
Only-MS$^2$,20,4,94.87179487179486
LC-MS$^2$Struct,1,5,56.41025641025641
LC-MS$^2$Struct,20,5,94.87179487179486
Only-MS$^2$,1,5,52.56410256410257
Only-MS$^2$,20,5,94.87179487179486
LC-MS$^2$Struct,1,6,56.41025641025641
LC-MS$^2$Struct,20,6,94.87179487179486
Only-MS$^2$,1,6,52.56410256410257
Only-MS$^2$,20,6,94.87179487179486
LC-MS$^2$Struct,1,7,53.84615384615385
LC-MS$^2$Struct,20,7,94.87179487179486
Only-MS$^2$,1,7,52.56410256410257
Only-MS$^2$,20,7,94.87179487179486
LC-MS$^2$Struct,1,8,53.84615384615385
LC-MS$^2$Struct,20,8,94.87179487179486
Only-MS$^2$,1,8,52.56410256410257
Only-MS$^2$,20,8,94.87179487179486
LC-MS$^2$Struct,1,1,34.0
LC-MS$^2$Struct,20,1,74.0
Only-MS$^2$,1,1,34.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,38.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,34.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,38.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,34.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,34.0
LC-MS$^2$Struct,20,4,72.0
Only-MS$^2$,1,4,34.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,36.0
LC-MS$^2$Struct,20,5,72.0
Only-MS$^2$,1,5,34.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,34.0
LC-MS$^2$Struct,20,6,74.0
Only-MS$^2$,1,6,34.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,34.0
LC-MS$^2$Struct,20,7,74.0
Only-MS$^2$,1,7,34.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,36.0
LC-MS$^2$Struct,20,8,74.0
Only-MS$^2$,1,8,34.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,42.0
LC-MS$^2$Struct,20,1,78.0
Only-MS$^2$,1,1,42.0
Only-MS$^2$,20,1,78.0
LC-MS$^2$Struct,1,2,42.0
LC-MS$^2$Struct,20,2,80.0
Only-MS$^2$,1,2,42.0
Only-MS$^2$,20,2,78.0
LC-MS$^2$Struct,1,3,42.0
LC-MS$^2$Struct,20,3,80.0
Only-MS$^2$,1,3,42.0
Only-MS$^2$,20,3,78.0
LC-MS$^2$Struct,1,4,42.0
LC-MS$^2$Struct,20,4,82.0
Only-MS$^2$,1,4,42.0
Only-MS$^2$,20,4,78.0
LC-MS$^2$Struct,1,5,42.0
LC-MS$^2$Struct,20,5,82.0
Only-MS$^2$,1,5,42.0
Only-MS$^2$,20,5,78.0
LC-MS$^2$Struct,1,6,42.0
LC-MS$^2$Struct,20,6,82.0
Only-MS$^2$,1,6,42.0
Only-MS$^2$,20,6,78.0
LC-MS$^2$Struct,1,7,42.0
LC-MS$^2$Struct,20,7,82.0
Only-MS$^2$,1,7,42.0
Only-MS$^2$,20,7,78.0
LC-MS$^2$Struct,1,8,42.0
LC-MS$^2$Struct,20,8,82.0
Only-MS$^2$,1,8,42.0
Only-MS$^2$,20,8,78.0
LC-MS$^2$Struct,1,1,44.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,39.0
Only-MS$^2$,20,1,66.0
LC-MS$^2$Struct,1,2,38.0
LC-MS$^2$Struct,20,2,72.0
Only-MS$^2$,1,2,39.0
Only-MS$^2$,20,2,66.0
LC-MS$^2$Struct,1,3,38.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,39.0
Only-MS$^2$,20,3,66.0
LC-MS$^2$Struct,1,4,42.0
LC-MS$^2$Struct,20,4,74.0
Only-MS$^2$,1,4,39.0
Only-MS$^2$,20,4,66.0
LC-MS$^2$Struct,1,5,42.0
LC-MS$^2$Struct,20,5,72.0
Only-MS$^2$,1,5,39.0
Only-MS$^2$,20,5,66.0
LC-MS$^2$Struct,1,6,42.0
LC-MS$^2$Struct,20,6,72.0
Only-MS$^2$,1,6,39.0
Only-MS$^2$,20,6,66.0
LC-MS$^2$Struct,1,7,42.0
LC-MS$^2$Struct,20,7,72.0
Only-MS$^2$,1,7,39.0
Only-MS$^2$,20,7,66.0
LC-MS$^2$Struct,1,8,42.0
LC-MS$^2$Struct,20,8,72.0
Only-MS$^2$,1,8,39.0
Only-MS$^2$,20,8,66.0
LC-MS$^2$Struct,1,1,44.0
LC-MS$^2$Struct,20,1,80.0
Only-MS$^2$,1,1,45.0
Only-MS$^2$,20,1,76.0
LC-MS$^2$Struct,1,2,46.0
LC-MS$^2$Struct,20,2,78.0
Only-MS$^2$,1,2,45.0
Only-MS$^2$,20,2,76.0
LC-MS$^2$Struct,1,3,44.0
LC-MS$^2$Struct,20,3,78.0
Only-MS$^2$,1,3,45.0
Only-MS$^2$,20,3,76.0
LC-MS$^2$Struct,1,4,44.0
LC-MS$^2$Struct,20,4,78.0
Only-MS$^2$,1,4,45.0
Only-MS$^2$,20,4,76.0
LC-MS$^2$Struct,1,5,42.0
LC-MS$^2$Struct,20,5,78.0
Only-MS$^2$,1,5,45.0
Only-MS$^2$,20,5,76.0
LC-MS$^2$Struct,1,6,42.0
LC-MS$^2$Struct,20,6,78.0
Only-MS$^2$,1,6,45.0
Only-MS$^2$,20,6,76.0
LC-MS$^2$Struct,1,7,42.0
LC-MS$^2$Struct,20,7,78.0
Only-MS$^2$,1,7,45.0
Only-MS$^2$,20,7,76.0
LC-MS$^2$Struct,1,8,42.0
LC-MS$^2$Struct,20,8,78.0
Only-MS$^2$,1,8,45.0
Only-MS$^2$,20,8,76.0
LC-MS$^2$Struct,1,1,40.0
LC-MS$^2$Struct,20,1,78.0
Only-MS$^2$,1,1,42.0
Only-MS$^2$,20,1,76.0
LC-MS$^2$Struct,1,2,40.0
LC-MS$^2$Struct,20,2,78.0
Only-MS$^2$,1,2,42.0
Only-MS$^2$,20,2,76.0
LC-MS$^2$Struct,1,3,42.0
LC-MS$^2$Struct,20,3,78.0
Only-MS$^2$,1,3,42.0
Only-MS$^2$,20,3,76.0
LC-MS$^2$Struct,1,4,44.0
LC-MS$^2$Struct,20,4,78.0
Only-MS$^2$,1,4,42.0
Only-MS$^2$,20,4,76.0
LC-MS$^2$Struct,1,5,44.0
LC-MS$^2$Struct,20,5,78.0
Only-MS$^2$,1,5,42.0
Only-MS$^2$,20,5,76.0
LC-MS$^2$Struct,1,6,44.0
LC-MS$^2$Struct,20,6,78.0
Only-MS$^2$,1,6,42.0
Only-MS$^2$,20,6,76.0
LC-MS$^2$Struct,1,7,44.0
LC-MS$^2$Struct,20,7,78.0
Only-MS$^2$,1,7,42.0
Only-MS$^2$,20,7,76.0
LC-MS$^2$Struct,1,8,44.0
LC-MS$^2$Struct,20,8,78.0
Only-MS$^2$,1,8,42.0
Only-MS$^2$,20,8,76.0
LC-MS$^2$Struct,1,1,44.0
LC-MS$^2$Struct,20,1,74.0
Only-MS$^2$,1,1,41.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,44.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,41.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,44.0
LC-MS$^2$Struct,20,3,74.0
Only-MS$^2$,1,3,41.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,44.0
LC-MS$^2$Struct,20,4,74.0
Only-MS$^2$,1,4,41.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,46.0
LC-MS$^2$Struct,20,5,74.0
Only-MS$^2$,1,5,41.0
Only-MS$^2$,20,5,72.0
LC-MS$^2$Struct,1,6,42.0
LC-MS$^2$Struct,20,6,74.0
Only-MS$^2$,1,6,41.0
Only-MS$^2$,20,6,72.0
LC-MS$^2$Struct,1,7,42.0
LC-MS$^2$Struct,20,7,74.0
Only-MS$^2$,1,7,41.0
Only-MS$^2$,20,7,72.0
LC-MS$^2$Struct,1,8,44.0
LC-MS$^2$Struct,20,8,76.0
Only-MS$^2$,1,8,41.0
Only-MS$^2$,20,8,72.0
LC-MS$^2$Struct,1,1,50.0
LC-MS$^2$Struct,20,1,80.0
Only-MS$^2$,1,1,51.0
Only-MS$^2$,20,1,78.0
LC-MS$^2$Struct,1,2,52.0
LC-MS$^2$Struct,20,2,80.0
Only-MS$^2$,1,2,51.0
Only-MS$^2$,20,2,78.0
LC-MS$^2$Struct,1,3,52.0
LC-MS$^2$Struct,20,3,80.0
Only-MS$^2$,1,3,51.0
Only-MS$^2$,20,3,78.0
LC-MS$^2$Struct,1,4,52.0
LC-MS$^2$Struct,20,4,80.0
Only-MS$^2$,1,4,51.0
Only-MS$^2$,20,4,78.0
LC-MS$^2$Struct,1,5,52.0
LC-MS$^2$Struct,20,5,80.0
Only-MS$^2$,1,5,51.0
Only-MS$^2$,20,5,78.0
LC-MS$^2$Struct,1,6,52.0
LC-MS$^2$Struct,20,6,80.0
Only-MS$^2$,1,6,51.0
Only-MS$^2$,20,6,78.0
LC-MS$^2$Struct,1,7,52.0
LC-MS$^2$Struct,20,7,80.0
Only-MS$^2$,1,7,51.0
Only-MS$^2$,20,7,78.0
LC-MS$^2$Struct,1,8,52.0
LC-MS$^2$Struct,20,8,80.0
Only-MS$^2$,1,8,51.0
Only-MS$^2$,20,8,78.0
LC-MS$^2$Struct,1,1,37.0
LC-MS$^2$Struct,20,1,76.0
Only-MS$^2$,1,1,36.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,38.0
LC-MS$^2$Struct,20,2,80.0
Only-MS$^2$,1,2,36.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,40.0
LC-MS$^2$Struct,20,3,78.0
Only-MS$^2$,1,3,36.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,40.0
LC-MS$^2$Struct,20,4,78.0
Only-MS$^2$,1,4,36.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,40.0
LC-MS$^2$Struct,20,5,78.0
Only-MS$^2$,1,5,36.0
Only-MS$^2$,20,5,72.0
LC-MS$^2$Struct,1,6,42.0
LC-MS$^2$Struct,20,6,78.0
Only-MS$^2$,1,6,36.0
Only-MS$^2$,20,6,72.0
LC-MS$^2$Struct,1,7,38.0
LC-MS$^2$Struct,20,7,80.0
Only-MS$^2$,1,7,36.0
Only-MS$^2$,20,7,72.0
LC-MS$^2$Struct,1,8,40.0
LC-MS$^2$Struct,20,8,78.0
Only-MS$^2$,1,8,36.0
Only-MS$^2$,20,8,72.0
LC-MS$^2$Struct,1,1,38.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,41.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,36.0
LC-MS$^2$Struct,20,2,70.0
Only-MS$^2$,1,2,41.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,38.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,41.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,38.0
LC-MS$^2$Struct,20,4,70.0
Only-MS$^2$,1,4,41.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,38.0
LC-MS$^2$Struct,20,5,72.0
Only-MS$^2$,1,5,41.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,40.0
LC-MS$^2$Struct,20,6,72.0
Only-MS$^2$,1,6,41.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,40.0
LC-MS$^2$Struct,20,7,72.0
Only-MS$^2$,1,7,41.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,40.0
LC-MS$^2$Struct,20,8,70.0
Only-MS$^2$,1,8,41.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,44.0
LC-MS$^2$Struct,20,1,76.0
Only-MS$^2$,1,1,45.0
Only-MS$^2$,20,1,74.0
LC-MS$^2$Struct,1,2,44.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,45.0
Only-MS$^2$,20,2,74.0
LC-MS$^2$Struct,1,3,46.0
LC-MS$^2$Struct,20,3,76.0
Only-MS$^2$,1,3,45.0
Only-MS$^2$,20,3,74.0
LC-MS$^2$Struct,1,4,46.0
LC-MS$^2$Struct,20,4,76.0
Only-MS$^2$,1,4,45.0
Only-MS$^2$,20,4,74.0
LC-MS$^2$Struct,1,5,46.0
LC-MS$^2$Struct,20,5,76.0
Only-MS$^2$,1,5,45.0
Only-MS$^2$,20,5,74.0
LC-MS$^2$Struct,1,6,44.0
LC-MS$^2$Struct,20,6,76.0
Only-MS$^2$,1,6,45.0
Only-MS$^2$,20,6,74.0
LC-MS$^2$Struct,1,7,44.0
LC-MS$^2$Struct,20,7,76.0
Only-MS$^2$,1,7,45.0
Only-MS$^2$,20,7,74.0
LC-MS$^2$Struct,1,8,46.0
LC-MS$^2$Struct,20,8,76.0
Only-MS$^2$,1,8,45.0
Only-MS$^2$,20,8,74.0
LC-MS$^2$Struct,1,1,38.0
LC-MS$^2$Struct,20,1,76.0
Only-MS$^2$,1,1,38.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,40.0
LC-MS$^2$Struct,20,2,76.0
Only-MS$^2$,1,2,38.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,40.0
LC-MS$^2$Struct,20,3,76.0
Only-MS$^2$,1,3,38.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,42.0
LC-MS$^2$Struct,20,4,78.0
Only-MS$^2$,1,4,38.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,44.0
LC-MS$^2$Struct,20,5,76.0
Only-MS$^2$,1,5,38.0
Only-MS$^2$,20,5,72.0
LC-MS$^2$Struct,1,6,42.0
LC-MS$^2$Struct,20,6,76.0
Only-MS$^2$,1,6,38.0
Only-MS$^2$,20,6,72.0
LC-MS$^2$Struct,1,7,44.0
LC-MS$^2$Struct,20,7,76.0
Only-MS$^2$,1,7,38.0
Only-MS$^2$,20,7,72.0
LC-MS$^2$Struct,1,8,44.0
LC-MS$^2$Struct,20,8,76.0
Only-MS$^2$,1,8,38.0
Only-MS$^2$,20,8,72.0
LC-MS$^2$Struct,1,1,46.0
LC-MS$^2$Struct,20,1,76.0
Only-MS$^2$,1,1,48.0
Only-MS$^2$,20,1,74.0
LC-MS$^2$Struct,1,2,46.0
LC-MS$^2$Struct,20,2,78.0
Only-MS$^2$,1,2,48.0
Only-MS$^2$,20,2,74.0
LC-MS$^2$Struct,1,3,48.0
LC-MS$^2$Struct,20,3,76.0
Only-MS$^2$,1,3,48.0
Only-MS$^2$,20,3,74.0
LC-MS$^2$Struct,1,4,46.0
LC-MS$^2$Struct,20,4,78.0
Only-MS$^2$,1,4,48.0
Only-MS$^2$,20,4,74.0
LC-MS$^2$Struct,1,5,48.0
LC-MS$^2$Struct,20,5,78.0
Only-MS$^2$,1,5,48.0
Only-MS$^2$,20,5,74.0
LC-MS$^2$Struct,1,6,48.0
LC-MS$^2$Struct,20,6,78.0
Only-MS$^2$,1,6,48.0
Only-MS$^2$,20,6,74.0
LC-MS$^2$Struct,1,7,48.0
LC-MS$^2$Struct,20,7,76.0
Only-MS$^2$,1,7,48.0
Only-MS$^2$,20,7,74.0
LC-MS$^2$Struct,1,8,48.0
LC-MS$^2$Struct,20,8,78.0
Only-MS$^2$,1,8,48.0
Only-MS$^2$,20,8,74.0
LC-MS$^2$Struct,1,1,56.00000000000001
LC-MS$^2$Struct,20,1,84.0
Only-MS$^2$,1,1,51.0
Only-MS$^2$,20,1,84.0
LC-MS$^2$Struct,1,2,54.0
LC-MS$^2$Struct,20,2,86.0
Only-MS$^2$,1,2,51.0
Only-MS$^2$,20,2,84.0
LC-MS$^2$Struct,1,3,56.00000000000001
LC-MS$^2$Struct,20,3,88.0
Only-MS$^2$,1,3,51.0
Only-MS$^2$,20,3,84.0
LC-MS$^2$Struct,1,4,52.0
LC-MS$^2$Struct,20,4,88.0
Only-MS$^2$,1,4,51.0
Only-MS$^2$,20,4,84.0
LC-MS$^2$Struct,1,5,52.0
LC-MS$^2$Struct,20,5,88.0
Only-MS$^2$,1,5,51.0
Only-MS$^2$,20,5,84.0
LC-MS$^2$Struct,1,6,50.0
LC-MS$^2$Struct,20,6,88.0
Only-MS$^2$,1,6,51.0
Only-MS$^2$,20,6,84.0
LC-MS$^2$Struct,1,7,50.0
LC-MS$^2$Struct,20,7,88.0
Only-MS$^2$,1,7,51.0
Only-MS$^2$,20,7,84.0
LC-MS$^2$Struct,1,8,50.0
LC-MS$^2$Struct,20,8,88.0
Only-MS$^2$,1,8,51.0
Only-MS$^2$,20,8,84.0
LC-MS$^2$Struct,1,1,44.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,45.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,40.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,45.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,44.0
LC-MS$^2$Struct,20,3,74.0
Only-MS$^2$,1,3,45.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,44.0
LC-MS$^2$Struct,20,4,74.0
Only-MS$^2$,1,4,45.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,44.0
LC-MS$^2$Struct,20,5,74.0
Only-MS$^2$,1,5,45.0
Only-MS$^2$,20,5,72.0
LC-MS$^2$Struct,1,6,46.0
LC-MS$^2$Struct,20,6,74.0
Only-MS$^2$,1,6,45.0
Only-MS$^2$,20,6,72.0
LC-MS$^2$Struct,1,7,46.0
LC-MS$^2$Struct,20,7,74.0
Only-MS$^2$,1,7,45.0
Only-MS$^2$,20,7,72.0
LC-MS$^2$Struct,1,8,46.0
LC-MS$^2$Struct,20,8,74.0
Only-MS$^2$,1,8,45.0
Only-MS$^2$,20,8,72.0
LC-MS$^2$Struct,1,1,34.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,30.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,34.0
LC-MS$^2$Struct,20,2,72.0
Only-MS$^2$,1,2,30.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,38.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,30.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,36.0
LC-MS$^2$Struct,20,4,70.0
Only-MS$^2$,1,4,30.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,36.0
LC-MS$^2$Struct,20,5,70.0
Only-MS$^2$,1,5,30.0
Only-MS$^2$,20,5,72.0
